responsibility
Ingeniero de telecomunicaciones
QA Analyst
Software Developer
Ingeniero de Soporte Outsourcing
Ingeniero de Sistema
Ingeniero
Ingeniero de sistemas
Ingeniero soporte web
Ingeniero de capital intelectual
Ingeniero de desarrollo de software
Ingeniero de Sistemas
Consultor Senior
Freelance
Ingeniero de sistemas
Ingeniero de Sistemas
Ingeniero de Sitemas
Ingeniero de Sistemas
Ingeniero de Sistemas
Desarrollador web
Support Engineer
Engineer
Ingeniero de Sistemas
Desarrollador Senior C# y PHP
Ingeniero de desarrollo de software
Ingeniero Administrador Networking
Information Technology Analyst
IT Support Engineer
IT Support Engineer
Gestor de Datos
Gestor de Datos
Administrador de bases de datos
Coordinador de Base de datos y Aplicaciones Web
Supernumerario (Ingeniero de Aplicaciones y Bases de Datos).
Soporte Técnico de Redes y Sistemas
Tecnico en sistemas enlace Red Nacional de Informacion
Docente Redes y Telecomunicaciones
Administrador de Redes y Telecomunicaciones
Adminsitardor de Redes
Administradora de Redes academicas
Técnico de soporte de TI
Analista de soporte en sistemas.
Analista de soporte de aplicaciones
Soporte técnico superior
Tecnico Soporte on site nivel 1
Analista de soporte de aplicaciones
Tecnico en sistemas
Tecnico Lider.
Desarrollo web y soporte
Ingeniera de Soporte en TI
Ingeniera de Soporte en TI
Soporte web
Tecnico en sistemas
Lider Tecnico en Gestion de Proyectos de TI
Desarrollo de software RPG(AS400) & soporte
Asistente tecnico
Administrador de PVDP
Administrador
Administrador de Plataforma Blended Learning - Moodle
Administrador de TI
Administrador de TI
Especialista Seguridad informatica - Proyecto de transformación digital
Profesional Seguridad Informatica
Arquitecto de tecnología
Arquitecto de desarrollo
Analista Arquitecto de software
Profesional de soluciones estandar nivel 2
Arquitecto Desarrollador
Arquitecto Desarrollador
Arquitecto de software
Arquitecto de software
Coordinador de sistemas
Webmaster
Técnico de sistemas
Técnico de sistemas
Lider de Sistemas - Dev. PHP
Técnico de sistemas
docente tecnologia e informatica
Jefe de sistemas
Coordinador Programa Analisis y Desarrollo de Sistemas de Información
Director de Sistemas y Tecnología
Auxiliar de Sistemas
ANALISTA DE SISTEMAS
Auxiliar de sistemas
Ingeniera de sistemas
Funcionario de Sistemas
Pasante Oficina de Sistemas
Auxiliar de Sistemas
Coordinador de sistemas
Jefe Oficina de Informatica
Técnico de Sistemas
Técnico de Sistemas
Asesor de Sistemas
Coordinador de sistemas
Coordinador de sistemas y comunicaciones
Coordinador de sistemas
Auditor Área de Sistemas
Analista de TI - Ing. Sistemas
Docente
Docente
Docente
Docente catedrático
Docente
Docente
Docente
Personal docente de informática
Auxiliar docente
Asistente de proyecto
Gestor de Proyectos
Gestor comercial
Gestor de Zona I
PROFESIONAL DE PROGRAMACION Y CONTROL PROYECTO
PROFESIONAL DE PROGRAMACION Y CONTROL PROYECTO
