responsibility
Desarrollador web
Desarrollador web (prácticas)
Desarrollador web
Ingeniero de sistemas
Ingeniero jefe de sistemas
Analista de soporte de aplicaciones
Desarrollador Web
Ingeniero de sistemas
Desarrollador
Desarrollador de back-end
Desarollador Senior
Ingeniero de desarrollo de software
Ingeniero de desarrollo de software
Testing Analyst
Ingeniero de sistemas
Ingeniero de sistemas
Ingeniero de sistemas
Backend
Desarrollador web
Analista de sistema
Ingeniero de sistemas
Ingeniero de sistemas
Ingeniero de desarrollo
Ingeniero de aplicaciones
Full Stack Engineer
Full Stack Engineer
Ingeniero de desarrollo de software
Desarrollador de Aplicaciones (web y Android)
Programador Web
Programador
Gerente de Desarrollo
Ingeniero Senior - Director de Investigacion y Desarrollo
Ingeniero de Soporte
Ingeniero de Pruebas
Desarrollador Web
Desarrollador Web
Desarrollador Mid-Level
Desarrollador de Software
Desarrollador en Bases de Datos Oracle
Ingeniero de Sistemas
Ingeniero de software
Analista Ingeniera Software
Desarrollador de Software
Ingeniero de Sistemas
Java Developer
Developer Senior
Programadora I-A
Desarrollador web
Analista de Arquitectura
Ingeniero de telecomunicaciones
QA Analyst
Analista de pruebas
Analista de TI - Ing. Sistemas
Mobile Application Developer
Software Developer
Android Developer
Ingeniero de Soporte Outsourcing
Ingeniero de Sistema
Ingeniero
Desarrollo web frontend
Ingeniero de sistemas
Desarrollo web y soporte
Ingeniera de Soporte en TI
Ingeniera de Soporte en TI
Soporte web
Ingeniero soporte web
Analista de desarrolo tecnológico
Ingeniero de capital intelectual
Ingeniero de desarrollo de software
Ingeniero de Sistemas
Consultor Senior
Freelance
Ingeniero de sistemas
Ingeniero de Sistemas
Ingeniero de Sitemas
Ingeniero de Sistemas
Ingeniero de Sistemas
Desarrollador web
Backend developer.
Support Engineer
Engineer
Capacitador Robotica Educativa
Desarrollo de software RPG(AS400) & soporte
Ingeniero de Sistemas
Desarrollador Senior C# y PHP
Ingeniero de desarrollo de software
Coordinador Senior
Ingeniero Administrador Networking
Information Technology Analyst
IT Support Engineer
IT Support Engineer
Gestor de Datos
Gestor de Datos
Administrador de bases de datos
Supernumerario (Ingeniero de Aplicaciones y Bases de Datos).
Soporte Técnico de Redes y Sistemas
Systems Support
Systems Consultant
Tecnico en sistemas enlace Red Nacional de Informacion
Sysadmin
Docente Redes y Telecomunicaciones
Administrador de Redes y Telecomunicaciones
Adminsitardor de Redes
Administradora de Redes academicas
Técnico de servicio nivel 1
Técnico de soporte de TI
Técnico de sistemas
Técnico de sistemas
Técnico Electrónico
Técnico de sistemas
Soporte técnico superior
Servicio técnico
Tecnico Desarrollador
Técnico
Tecnico Soporte on site nivel 1
Tecnico en sistemas
Técnico de Sistemas
Técnico de Sistemas
Tecnico Lider.
Tecnico en sistemas
Lider Tecnico en Gestion de Proyectos de TI
Asistente tecnico
Coordinador de sistemas
Administrador de PVDP
Auxiliar Servicios Tecnológicos
Coordinador de proyectos de automatización
Jefe de sistemas
Administrador
Coordinador de Instalaciones
Coordinador de Novedades y Procesos BDUA. Dptal.
Jefe de Inventarios y Despachos PNAAM SUCRE
Coordinador de sistemas
Jefe Oficina de Informatica
Jefe de tecnología
Coordinador de sistemas
Coordinador de sistemas y comunicaciones
"Coordinador de sistemas, radiología y archivos"
Coordinador de sistemas
Coordinador de proyectos
Security Services Consultant - SIOC
Contratist Cyber Security Expert | CSIRT Government |
Cyber Security Consultant
Servicios de TI
Jefe de equipo
Administrador de Plataforma Blended Learning - Moodle
Jefe de secretaría
Administrador de TI
Administrador de TI
Coordinador Departamental
Coordinador Departamental
Jefe de Cartera
Especialista Seguridad informatica - Proyecto de transformación digital
Profesional Seguridad Informatica
Arquitecto de tecnología
Profesional de soluciones estandar nivel 2
Auxiliar de Innovación y Tecnología
Arquitecto Desarrollador
Arquitecto Desarrollador
Arquitecto de software
Arquitecto de software
Webmaster
Lider de Sistemas - Dev. PHP
docente tecnologia e informatica
Diseñador y desarrollador del Software de Rifas
Director de Sistemas y Tecnología
Auxiliar de Sistemas
Auxiliar de sistemas
Funcionario de Sistemas
Pasante Oficina de Sistemas
Auxiliar de Sistemas
Asesor de Sistemas
Auditor Área de Sistemas
Docente
Docente
Docente
Docente catedrático
Docente
Docencia
Docente
Docencia
Docente
Personal docente de informática
Auxiliar docente
Asistente de proyecto
Gestor de Proyectos
Apoyo Control de Proyectos
Apoyo Control Proyectos
Gestor comercial
Gestor de Zona I
PROFESIONAL DE PROGRAMACION Y CONTROL PROYECTO
PROFESIONAL DE PROGRAMACION Y CONTROL PROYECTO
